DateTime;Open;High;Low;Close;Volume
2015-01-01;322.31;322.9;313.81;314.96;5178.767546510055
2015-01-02;314.54;316.74;313.28;315.81;3834.5440082900136
2015-01-03;315.8;315.99;277.5;279.3;47448.896098659774
2015-01-04;279.3;288.74;255.03;264.19;81205.72689818848
2015-01-05;264.04;280.44;263.75;274.84;50869.734678000066
2015-01-06;274.85;291.94;272.1;288.43;36115.59028904914
2015-01-07;288.36;303.33;284.0;297.99;31046.894169069434
2015-01-08;297.89;298.47;282.01;283.21;32664.981656278458
2015-01-09;283.99;297.32;280.4;290.51;28829.158753548847
2015-01-10;290.58;292.1;275.0;276.03;25031.95462854897
2015-01-11;276.01;282.86;265.83;267.27;22815.02462214967
2015-01-12;267.54;274.44;266.24;268.75;21418.479958429914
2015-01-13;268.6;269.66;219.0;228.07;150459.10194833108
2015-01-14;228.49;228.49;166.45;182.0;269565.29979511973
2015-01-15;181.0;230.74;179.05;209.81;184371.65353224138
2015-01-16;209.81;223.1;197.72;208.5;80331.4651895499
2015-01-17;208.52;214.0;192.2;201.24;48913.36512219965
2015-01-18;200.31;222.0;194.0;211.03;65568.72956004934
2015-01-19;210.98;219.95;207.0;216.2;32438.305494009062
2015-01-20;216.14;219.25;203.7;212.11;52169.96449951887
2015-01-21;212.1;230.0;211.0;228.08;57794.88598029053
2015-01-22;228.05;242.0;225.29;234.7;57343.01438333875
2015-01-23;234.7;236.98;225.13;233.12;40153.10221793815
2015-01-24;233.37;249.77;229.03;248.66;40097.042593949125
2015-01-25;248.94;259.39;245.0;254.73;54049.081403040575
2015-01-26;254.72;315.0;254.65;276.01;205992.02467918044
2015-01-27;276.01;280.37;250.0;265.09;81712.86714802106
2015-01-28;265.55;269.97;226.35;234.5;87045.98063215963
2015-01-29;234.49;239.33;220.0;233.01;60109.92091167972
2015-01-30;233.7;243.89;224.22;226.45;51257.891705949194
2015-01-31;226.47;234.03;213.1;215.8;48929.51091026965
2015-02-01;215.91;233.32;211.02;226.92;55663.95598381776
2015-02-02;226.86;247.5;222.5;238.99;52340.34350407923
2015-02-03;238.86;248.42;222.66;227.96;81380.30367240995
2015-02-04;227.81;233.0;220.23;227.8;44328.27883201949
2015-02-05;227.79;228.8;210.12;216.47;37869.95924451986
2015-02-06;216.43;225.88;215.0;222.65;35652.27922932948
2015-02-07;222.66;239.78;222.66;228.8;35471.83677372935
