iter	RMSE
0	15626.67983
1	15111.84986
2	14612.68209
3	14135.81074
4	13671.82055
5	13229.47807
6	12797.71649
7	12390.6493
8	11987.74267
9	11605.91732
10	11234.64414
11	10883.85043
12	10539.64395
13	10200.80106
14	9876.534141
15	9560.984735
16	9261.192957
17	8979.48789
18	8710.861344
19	8440.475666
20	8185.991305
21	7930.947447
22	7693.198104
23	7457.625287
24	7236.042295
25	7020.741594
26	6808.038411
27	6605.664746
28	6408.052733
29	6218.490309
30	6033.835451
31	5857.907794
32	5687.203777
33	5523.797766
34	5366.870905
35	5216.320208
36	5072.730389
37	4934.430277
38	4804.397944
39	4675.609047
40	4550.264137
41	4429.824448
42	4316.133635
43	4204.334849
44	4096.878294
45	3996.797111
46	3899.344593
47	3803.329208
48	3714.574322
49	3628.847121
50	3544.922896
51	3463.231939
52	3385.212226
53	3313.371717
54	3241.383591
55	3175.000297
56	3107.179224
57	3043.005594
58	2982.793695
59	2922.761124
60	2867.649789
61	2812.533147
62	2760.391096
63	2708.911502
64	2663.034407
65	2615.517642
66	2571.203017
67	2528.735887
68	2487.452936
69	2451.569759
70	2412.234945
71	2375.215381
72	2341.822118
73	2307.042469
74	2275.87763
75	2243.242383
76	2211.865573
77	2181.343434
78	2154.596021
79	2127.564293
80	2102.858307
81	2079.061221
82	2053.120692
83	2029.115888
84	2005.618258
85	1985.998515
86	1965.242952
87	1944.553794
88	1925.980105
89	1908.467342
90	1890.34989
91	1872.422225
92	1855.234327
93	1838.486107
94	1821.749126
95	1806.481632
96	1793.292724
97	1779.000044
98	1764.728252
99	1752.56255
100	1740.441284
101	1727.149037
102	1715.245263
103	1704.298738
104	1693.348647
105	1684.141951
106	1672.487264
107	1661.883828
108	1652.169854
109	1643.542602
110	1633.541598
111	1625.527141
112	1616.192257
113	1608.53712
114	1599.746725
115	1592.677812
116	1584.356512
117	1576.443261
