iter	Passed	Remaining
0	68	68278
1	75	37641
2	82	27452
3	88	22002
4	94	18726
5	100	16593
6	105	15025
7	111	13853
8	117	12912
9	123	12194
10	129	11606
11	134	11108
12	140	10683
13	146	10317
14	152	9984
15	158	9745
16	163	9480
17	169	9255
18	175	9048
19	180	8862
20	186	8712
21	192	8570
22	198	8429
23	203	8294
24	209	8166
25	215	8059
26	220	7956
27	226	7858
28	231	7766
29	238	7718
30	244	7645
31	250	7575
32	256	7504
33	261	7434
34	267	7373
35	272	7309
36	278	7252
37	284	7200
38	290	7150
39	295	7100
40	301	7062
41	307	7018
42	313	6985
43	319	6945
44	325	6910
45	331	6873
46	337	6840
47	342	6801
48	348	6762
49	353	6725
50	359	6691
51	365	6660
52	370	6628
53	376	6597
54	382	6569
55	388	6547
56	394	6531
57	400	6510
58	406	6490
59	413	6470
60	419	6455
61	425	6436
62	431	6423
63	438	6412
64	444	6397
65	450	6375
66	456	6353
67	462	6335
68	467	6311
69	473	6287
70	478	6265
71	484	6243
72	489	6220
73	495	6201
74	501	6181
75	506	6160
76	512	6139
77	518	6123
78	523	6106
79	529	6088
80	535	6072
81	540	6055
82	546	6042
83	552	6025
84	558	6008
85	563	5993
86	569	5976
87	575	5960
88	580	5945
89	586	5931
90	592	5916
91	598	5904
92	604	5890
93	609	5877
94	616	5870
95	621	5856
96	627	5842
97	633	5826
98	638	5811
99	644	5799
100	649	5785
101	655	5771
102	661	5756
103	666	5743
104	672	5730
105	677	5718
106	684	5714
107	690	5707
108	696	5696
109	702	5684
110	708	5672
111	713	5660
112	719	5648
113	725	5640
114	731	5631
115	738	5624
116	743	5613
117	749	5604
